Cell Site ID,Latitude,Longitude,Month,Average RSRQ,Average SINR,Average RSSI,Average RSRP,Average Uplink Throughput (Mbps),Average Downlink Throughput (Mbps),Peak Uplink Throughput (Mbps),Peak Downlink Throughput (Mbps),Average Call Drop Rate (%),Average Call Block Rate (%),Average MOS,Average Latency (ms),Average Jitter (ms),Packet Loss Rate (%),Average Temperature (°C),Average Humidity (%),Rainfall (mm),Average Number of Active Users,Maximum Number of Active Users,Cell Site Status % Active,Average Power Consumption (kWh),Number of Critical Alarms,Number of Major Alarms,Number of Minor Alarms,Number of Maintenance Events,Average SNR,Network Availability (%),Backhaul Utilization (%),Average Transmission Power (dBm)
CS_001,9.053799075153972,7.549676411618873,2023-08,-4.479669498348008,18.212309738076243,-110.5198182820078,-70.60518979432011,43.09238841105625,19.517878356353297,83.55463601880882,265.1470550871686,3.132559359369431,3.3736589805185924,1.7453894666965328,54.83923687881446,7.006680965713718,4.307855457714188,23.08841700384057,60.89655178536678,260.26912579469547,444,960,95.03134242634692,1738.044680032664,2,2,11,2,19.92719325029782,95.62789957792053,52.236488939525294,49.89560499203243
CS_001,9.053799075153972,7.549676411618873,2023-09,-19.901288891084842,27.807956691534727,-87.22527776571823,-52.36546842537784,14.145688316484417,58.29316627949953,128.0907371590192,154.73971949455895,0.1653682826579933,0.6477913488479115,3.369846129588088,81.5421017472438,35.48395687762103,3.872531783967959,33.71277014615808,89.18266591925688,86.95558025624617,132,682,90.7755558204705,4141.183355249377,2,0,30,1,28.288699948614866,98.19030833894884,88.51644780964816,8.759323717312654
CS_001,9.053799075153972,7.549676411618873,2023-10,-15.092559832147408,18.07083812535804,-113.5045905890864,-74.06674165105636,76.73882545667034,88.20412730449537,134.46422663600526,106.72977795250449,0.7056877490530339,2.383461675761783,3.946679353482442,175.9219390430732,41.497754386004225,0.6678545307286204,34.20749931983028,48.95216094004542,245.33985783487475,452,576,95.78654261437893,4611.07067775348,2,6,9,5,18.465254924215603,95.16921249283588,77.67465804056758,18.93281035022123
CS_001,9.053799075153972,7.549676411618873,2023-11,-14.59583308534658,11.209223928417874,-109.77765818848731,-74.53522505838399,95.45403946438317,96.3248132055497,179.42219558574894,299.34536712987426,4.1888512086268594,2.7125084322248756,1.6342002216227267,189.28584667096726,8.900933791487887,1.0293851142234423,21.271107270379797,73.1816499977522,17.920819833461678,57,827,92.46520284238116,1437.235330742058,4,11,43,2,27.25897722179916,96.51769138631136,94.66422460627427,24.051807527161287
CS_001,9.053799075153972,7.549676411618873,2023-12,-4.613481407775128,11.417766686847372,-83.41510597528779,-62.87816568570265,75.71797511338472,22.822604469715497,183.61014512835726,140.87056873645872,3.7817636070119938,1.0021877515967965,3.081932978147934,22.815889900390857,21.344664288248303,2.272731573332283,28.08990985017082,77.49290293913712,104.89278103672741,192,576,95.93571027486794,4844.323027734426,0,12,40,3,22.38054745260915,95.18045723942328,51.41199349589267,23.87297406935315
CS_001,9.053799075153972,7.549676411618873,2024-01,-9.116288375564492,22.339627830092034,-114.4830762102783,-66.46753271102207,40.7432477584185,82.7803958631531,151.7659765068796,112.33488595146484,2.0727146476829112,3.308684277282471,1.824596061737794,163.74418287276671,8.703883357465314,3.9227183501707383,31.862278737113503,66.44167411977887,106.98822621254712,48,753,91.28331891822376,3903.3010440366243,5,9,42,4,29.071928470009045,96.62721696957847,63.8761732735947,-18.06900786580743
CS_001,9.053799075153972,7.549676411618873,2024-02,-16.11265820929734,12.240269367357008,-91.34764578055052,-53.09994705112356,67.38079244159465,63.635412341640254,123.01881231397381,138.61240919767928,1.5033121551772821,2.3173802299421364,3.8247559285633903,72.33988134533584,45.78071106598054,4.625225329157384,33.769463042077916,54.543382516671095,99.66761926542384,42,830,92.34400337515709,1227.9903925633698,3,1,21,3,23.222754729831998,98.36120853901042,61.512554686925846,35.35716031294608
CS_001,9.053799075153972,7.549676411618873,2024-03,-12.820303427166461,1.8110326573920243,-70.36877921266534,-43.60355538728526,32.272016351121394,100.03613475049575,57.35214745467539,159.462977538552,1.5567864190786818,0.3735289554301163,2.234853266131582,166.3033560133538,29.04560983444092,2.302644661759434,37.884741135019674,44.61730414254289,10.069517683144003,184,812,98.7066394011761,4235.634146039384,9,7,18,4,12.057396892301451,97.53749717842797,58.907131798817915,-34.24764836531165
CS_001,9.053799075153972,7.549676411618873,2024-04,-6.23238037408689,7.484535813067524,-115.63430219400672,-94.47411252425789,27.89432189189409,61.828213747135266,90.84922521537844,120.84699933458356,0.5424295843547816,2.623930302243122,4.364120407323975,23.58857137246472,32.493458156310176,2.603195749830032,30.46675987922211,66.65548465499904,283.25165504558515,85,509,91.5570146866985,4988.721861686688,10,18,14,1,14.540171045142325,99.28816682058078,90.20880291352134,-6.702354544165381
CS_001,9.053799075153972,7.549676411618873,2024-05,-6.8208843959764724,23.113809439388525,-82.0363654116054,-89.33872114439234,3.256698845106132,70.66315277168577,147.45401015489668,298.1187459384621,3.6920433430256128,2.6047908719186847,1.333724743787481,122.99521393455184,11.508148845842387,4.762359228765332,28.06844958799707,89.76542697976562,260.5716794686999,420,655,91.14447638102742,1524.6752042976213,8,17,4,2,10.659231606195384,96.0708706357222,96.61811273444671,-48.69624452664234
CS_001,9.053799075153972,7.549676411618873,2024-06,-12.67105229044176,-6.136471429824213,-74.87332454288142,-56.49522264191647,98.81421798271882,42.250300996552326,94.79928591309195,152.45911644631758,3.178252146810248,2.0394836341729965,4.079319568358576,146.44219895022428,45.28384202154468,2.047629791339381,23.898526281669074,82.21127361323911,205.368192785675,451,592,93.8788725292267,2439.5345967968983,8,20,38,0,25.690385280579456,98.2505240051755,85.27045958517445,6.357736601678745
CS_001,9.053799075153972,7.549676411618873,2024-07,-12.812689393221223,28.97778669155344,-117.22322485672795,-65.14756962066708,81.60232534814217,30.67941646513259,85.50479273565358,160.20214750840756,4.825179403022457,3.5980995280665207,3.365905675705519,154.52247639002826,2.219689543016484,1.7332723623785218,22.868555545181227,47.17156567770898,223.41426119821858,64,785,97.39936135931141,1060.6847802198495,2,10,18,5,24.559481731688876,95.50050251261334,99.63156089280548,39.33185987816597
